author,comment,Cleaned_Comments
@Aslan7293,Çok güzel anlatıyorsunuz👏👏 teşekkürler ilk defa bu videoyu izledim fakat ben yine de qnlamiyorum acaba ilk izlemem gereken başka bir video mu yani bunlar sıralı mı ilk defa izleyen için bu video mu başka bir videonuzu mu önerirsiniz,güzel anlatıyorsunuz teşekkürler ilk videoyu izledim fakat ben yine qnlamiyorum ilk izlemem gereken başka bir video bunlar sıralı ilk izleyen video başka bir videonuzu önerirsiniz
@ertugrul7450,Bir video izledim. Cok begendim. Takibe alacagim,bir video izledim cok begendim takibe alacagim
@bulentyldrm9692,Teşekkürler,teşekkürler
@semihosmanoglu,Emeğinize sağlık hocam 👍🏾,emeğinize sağlık hocam
@mutluzamanatolyesi-happyti7383,Çok teşekkür ederim,teşekkür ederim
@seyitcan5737,Emeklerine sağlık üstadım. Teşekkürler.,emeklerine sağlık üstadım teşekkürler
@tugrulcanbazoglu2642,"Erdem bey eğitim videolarınız gerçekten mükemmel.Şöyle bir sorum var.Bugün aylık bazda XAUUSD grafiğini incelerken yükselen trend çizgisinin lineer çizimde yukarı kırıldığını,ancak log grafikte kırılmadığını gördüm.Bu durumda hangi grafiği baz almalıyız.Tendin kırıldığını mı yoksa kırılmadığını mı kabul edeceğiz.teşekkürler.",erdem bey eğitim videolarınız gerçekten mükemmelşöyle bir sorum varbugün aylık bazda xauusd grafiğini incelerken yükselen trend çizgisinin lineer çizimde yukarı kırıldığınıancak log grafikte kırılmadığını gördümbu durumda hangi grafiği baz almalıyıztendin kırıldığını yoksa kırılmadığını kabul edeceğizteşekkürler
@mehmetkaradag9364,hocam çoğunluk  tradındview de . neden kullanmadınız..,hocam çoğunluk tradındview kullanmadınız
@mahmutakcan4257,Emeğine sağlık kardeşim,emeğine sağlık kardeşim
@Big_Dream_Trader,Ben 3 dakikalık Zaman açıp al sat yapıyorum. Dey tarde yapıyorum en iyisi  Mumlar hangi dakika olan mumlardır?,ben 3 dakikalık zaman açıp al sat yapıyorum dey tarde yapıyorum iyisi mumlar hangi dakika olan mumlardır
@omerkinaci1688,CGJGFDF,cgjgfdf
@kerim.1903,Emeğinize sağlık,emeğinize sağlık
@piendustri7610,"Video guzel,  aylık inceleme  yaptıktan sonra aynı grafık uzerınden haftalık ,saatlık, dakıkalık incelemeyıde sonuna kadar incelermisiniz",video guzel aylık inceleme yaptıktan sonra aynı grafık uzerınden haftalık saatlık dakıkalık incelemeyıde sonuna kadar incelermisiniz
@yagzguzeler7395,Dislike,dislike
@biroloztekin6142,"Acaba investing de 1 Türk hissesini usd bazinda kaydedip, üzerine indikatorler ekleyip kaydedebilir muyuz",investing 1 türk hissesini usd bazinda kaydedip üzerine indikatorler ekleyip kaydedebilir muyuz
@atillaaydogar8579,"Hocam hariaka bir anlatım, teknil öğrendikçe  bu bilgilerin ne olduğunu daha iyi anlıyor ve anlatış tarzınıza hayran kalıyorum.Teşekkürler..",hocam hariaka bir anlatım teknil öğrendikçe bilgilerin olduğunu iyi anlıyor anlatış tarzınıza hayran kalıyorumteşekkürler
@legendworldtv,Hocam sizi keşfettim bu grafik olayını sizden dinledim anladım çook saolun,hocam sizi keşfettim grafik olayını sizden dinledim anladım çook saolun
@epicmoment1559,HOCAMMM TÜRKİYEDE YAŞIYORUZZ BİR ANDA SUİKAST OLUYOR OLUYOR BOMBA PATLIYOR BORSA KALMIYOR NE CİZGİSİ,hocammm türkiyede yaşiyoruzz bir anda suikast oluyor oluyor bomba patliyor borsa kalmiyor cizgisi
@ismailrasid1501,"Hocam bu güzel video için teşekkür ederim, emeğinize sağlık! Peki hisselerde bölünmeler olabiliyor, dolayısıyla dolar bazında da grafikte fiyatı düşmüş oluyor, böyle bir durumda grafiği nasıl inceleyebiliriz?",hocam güzel video teşekkür ederim emeğinize sağlık peki hisselerde bölünmeler olabiliyor dolayısıyla dolar bazında grafikte fiyatı düşmüş oluyor böyle bir durumda grafiği inceleyebiliriz
@AhmetBahçecioğlu-u3w,"Erdem Bey videonuzu yeni izliyorum ve çok beğendim,dip ve tepeleri nasıl işaretlediniz,açıklarmısınız?",erdem bey videonuzu yeni izliyorum beğendimdip tepeleri işaretledinizaçıklarmısınız
@cemilesenturk,Emeğinize sağlık çok bilgilendirici oldu,emeğinize sağlık bilgilendirici oldu
@aliyanar4491,Bu kadar ozel bilgileri herkes saklar. Tesekkur ederiz.,kadar ozel bilgileri herkes saklar tesekkur ederiz
@tansutazegul8297,Gerçekten çok iyi,gerçekten iyi
@besiktasbjk2082,"Keşke bu kanalı daha önce keşfetmiş olsaydım.
Değerli bilgilerinizi paylaştığınız için TEŞEKKÜRLER",keşke kanalı önce keşfetmiş olsaydım değerli bilgilerinizi paylaştığınız teşekkürler
@gurcansavg6326,çok faydalı.Teşekkürler.,faydalıteşekkürler
@ibrahimkoca9460,🙏🏻emeğinize sağlık,emeğinize sağlık
@berkaytufenkci741,ellerinize sağlık. sadece keşke haftalıktan günlüğe gçtiğinizde de devam etseydiniz.,ellerinize sağlık sadece keşke haftalıktan günlüğe gçtiğinizde devam etseydiniz
@ercumentatakoglu8830,Çok teşekkür ederim kardeşim ❤,teşekkür ederim kardeşim
@kadirarslan9614,Erdem abi buraya kadar olan eğitim videolarının her birini 3 4 kere izledim. Hakim olmaya başladım. Sadece bir yerde kafam karıştı.Bu paralel kanal çizgisini biraz daha detaylandırır mısın lütfen? Genelde yukarı yönlü mü çizmeliyiz? Aşağı yönlü olan varsa onuda örneklendirir misin rica etsem. İyi çalışmalar,erdem abi buraya kadar olan eğitim videolarının birini 3 4 kere izledim hakim olmaya başladım sadece bir yerde kafam karıştıbu paralel kanal çizgisini biraz detaylandırır mısın lütfen genelde yukarı yönlü çizmeliyiz aşağı yönlü olan varsa onuda örneklendirir misin rica etsem iyi çalışmalar
@elifduman4609,Çok güzel anlatmissiniz sona geldik kestiniz,güzel anlatmissiniz sona geldik kestiniz
@bilememkardes1,Her şeyi bi önceki videolarda anlattım deyip anlatmayacaksanız o zaman niye böyle bir video çekme gereksiniminde bulundunuz?,şeyi bi önceki videolarda anlattım deyip anlatmayacaksanız zaman böyle bir video çekme gereksiniminde bulundunuz
@siyahs1893,süper,süper
@Sendeogrenmelisin,teşekkür ederim,teşekkür ederim
@SERIF.45,"SELAMÜN ALEYKÜM KARDEŞM.  
ALLAHIN RAHMETİ VE BEREKETİ ÜZERİNİZE OLSUN.  
ÇOK GÜZEL VE DEĞERLİ YORUMUNUZ İÇİN, 
ÇOK TEŞEKKÜR EDERİM.",selamün aleyküm kardeşm allahin rahmeti bereketi üzerinize olsun güzel değerli yorumunuz teşekkür ederim
@halilkelek9106,Tşk ederim.. ağzına dilene sağlık,tşk ederim ağzına dilene sağlık
@seyfiözbek,ilk defa iizledim cok acıklayıcı ve anlaşılır emeginize  saglik  cok tesekkur edrim,ilk iizledim cok acıklayıcı anlaşılır emeginize saglik cok tesekkur edrim
@mustafabektas1323,Emeğine sağlık sevgili kardeşim.,emeğine sağlık sevgili kardeşim
@Ibrahim-c7n3g,Eleman kibir abidesi,eleman kibir abidesi
@Nietzsche9347,Erdem Hocam teknik analiz yaparken sağ taraftan fiyat kısmını aşağı yukarı çekince mumların gölgeleri ve çizgileri uzayıp kısalıyor bunun standardı nedir kaç dakikalık-saatlik ve hangi  fiyattan teknik analiz yapmak gerekir? Yardımcı olur musunuz teşekkür ederim.,erdem hocam teknik analiz yaparken sağ taraftan fiyat kısmını aşağı yukarı çekince mumların gölgeleri çizgileri uzayıp kısalıyor bunun standardı nedir kaç dakikalıksaatlik hangi fiyattan teknik analiz yapmak gerekir yardımcı olur musunuz teşekkür ederim
@kevsercerenertaylan1410,emeğinize sağlık çok temiz bilgiler,emeğinize sağlık temiz bilgiler
@emirbey8931,Hocam harikasınız birebir eğitiminiz varmı veya Whatsaap grup vs,hocam harikasınız birebir eğitiminiz varmı whatsaap grup vs
@hakangunduz1155,Teşekkürler 🙏,teşekkürler
@semihdemircn,Eğitim güzel fakat başlıkta olduğu gibi 'sıfırdan' değil hic bilmeyen biri olarak hep eski videolara yönlendirildim.Hoş değil.,eğitim güzel fakat başlıkta olduğu sıfırdan değil hic bilmeyen olarak eski videolara yönlendirildimhoş değil
@sinansamanl5563,Videonun başlığı sıfırdan grafik öğrenme ama her şeyi anlatmam önceki videolarda var deyip geçiştiriyorsunuz,videonun başlığı sıfırdan grafik öğrenme şeyi anlatmam önceki videolarda var deyip geçiştiriyorsunuz
@emirbey8931,Paralı aldığım eğitimler de bile bu kalite yok,paralı aldığım eğitimler bile kalite yok
@cianducrot42,Videoların harika olmuş!!  İzleyicilerinizin bir parçasıyım ve son zamanlarda videolarınızı izliyorum.  Yatırım yapmakla ilgileniyorum ama hala yapılacak doğru yatırımı bulamıyorum.  Buradaki herhangi bir yardımı takdir edeceğim.,videoların harika olmuş izleyicilerinizin bir parçasıyım son zamanlarda videolarınızı izliyorum yatırım yapmakla ilgileniyorum hala yapılacak doğru yatırımı bulamıyorum buradaki herhangi bir yardımı takdir edeceğim
@CemMutlu-n6w,"Elinize sağlık, çok açıklayıcı olmuş",elinize sağlık açıklayıcı olmuş
@ersanerylmaz3330,beğeni ve yorumu hak eden bilgilendirmeler teşekkürler,beğeni yorumu hak eden bilgilendirmeler teşekkürler
@arifbaki8614,Hocam bilgiler için teşekkürler,hocam bilgiler teşekkürler
@yusufziyagur1853,Ağzınıza sağlık hocam.,ağzınıza sağlık hocam
@emrekrgn6718,hem sıfırdan eğitim yazıyor hem de daha önce anlattım onlara bakın diyorsunuz ben burada bir çelişki görüyorum,sıfırdan eğitim yazıyor önce anlattım onlara bakın diyorsunuz ben burada bir çelişki görüyorum
@fatihbayraktar7618,Tekrar tesekkrler,tekrar tesekkrler
@seyfettinsen8038,Teknik analiz konusunda bire bir karsilikli egitimiz varmi.? Teke tek yuz yuze yada teknik analiz ucretli veriyormusunuz tsk cevap icin simdiden.🙏,teknik analiz konusunda bire bir karsilikli egitimiz varmi teke tek yuz yuze yada teknik analiz ucretli veriyormusunuz tsk cevap icin simdiden
@orhansss,Özel bi eğitiminiz var mı?,özel bi eğitiminiz var
@rn-jc6pv,Teşekkür ederim,teşekkür ederim
@byyormaz10,Teşekkürler,teşekkürler
@mustafak.9760,👍,
@rahmisuner7634,Üstat sagolsin varolasın sevgiler-saygılar Allah razı olsun.,üstat sagolsin varolasın sevgilersaygılar allah razı olsun
@huseyinsozer2038,"Emegine saglik.Cok guzel 
VE surukleyen bir anlatim.Sayfanizi inceleyip videolarinizi izlemek icin bir plan hazirlayip diger videolarinizi izlemek istiyorum ,eksiklerimi guvenilir bir sekilde tamamLayabilir.yeni bir bakis kazanabilirim.saygiyla egilerek cekiliyorum.",emegine saglikcok guzel surukleyen bir anlatimsayfanizi inceleyip videolarinizi izlemek icin bir plan hazirlayip diger videolarinizi izlemek istiyorum eksiklerimi guvenilir bir sekilde tamamlayabiliryeni bir bakis kazanabilirimsaygiyla egilerek cekiliyorum
@fatihbayraktar7618,Güzel anlatım için teşekkürler,güzel anlatım teşekkürler
@yesilmum.,önceki videolar önceki videolar 😐,önceki videolar önceki videolar
@samikeyifli7609,emeğinize sağlık...,emeğinize sağlık
@yasarcanl2508,Borsa üniversitelerde hangi bölümde en detayli öğretiliyor,borsa üniversitelerde hangi bölümde detayli öğretiliyor
@sananebanane5169,😂😂😂,
@memocan7901,bilgiler için emeğinize sağlık,bilgiler emeğinize sağlık
@msezek1,Teşekkür ederim,teşekkür ederim
@sahinsakarcan1296,Süpermenimsin,süpermenimsin
@tayfunsahin1647,👏👏👏🙏,
@neclacaymaz1059,Daha basit anlat dinlemiyorum bile,basit anlat dinlemiyorum bile
@antalyayapaykayaselaleyapimi,Hiç birşey anlamadım anlatılamamış başarısız,anlamadım anlatılamamış başarısız
@Tuncay_B.,çok şey öğrendim sayenizde Allah razı olsun teşekkür ederim.,öğrendim sayenizde allah razı olsun teşekkür ederim
@metinaktas8703,Teşekkürler,teşekkürler
@UmitBicim,Teşekkürler.,teşekkürler
@fatihozturk5767,"Erdem bey emeğinize sağlık, eğitim videolarını çok araştırdım,bu kadar akıcı,sade ve içi dolu bilgiler görmedim....devamını bekliyoruz saygılar...",erdem bey emeğinize sağlık eğitim videolarını araştırdımbu kadar akıcısade içi dolu bilgiler görmedimdevamını bekliyoruz saygılar
@Ziya71,💯💯💯💯💯💯💯💯💯💯💯💯💯,
@Servetyalcnkaya,Anlatım çok harika. Teşekkürler,anlatım harika teşekkürler
@hande1024,Çok güzel anlatmışsınız.hiç bilgim olmamasına rağmen az çok bişeyler anladım.önceki videolarınızı izleyip pekiştirecepim.teşekkür ederim,güzel anlatmışsınızhiç bilgim olmamasına rağmen bişeyler anladımönceki videolarınızı izleyip pekiştirecepimteşekkür ederim
@hamzasoyle8636,Helal olsun gayet sade ve açıklayıcı bilgi olmuş bende yapmak istiyorum ama paradan önce bilgi,helal olsun gayet sade açıklayıcı bilgi olmuş bende yapmak istiyorum paradan önce bilgi
@ahalpars,hangi kripto uygulamasını kullanmalıyım,hangi kripto uygulamasını kullanmalıyım
@yalom64,"Teşekkür ediyorum hocam, emeğine yüreğine sağlık....",teşekkür ediyorum hocam emeğine yüreğine sağlık
@erhandegirmencioglu582,size çok teşekür ederiz. okul gibisiniz. maşallah kendinizi iyi yetiştirmişsiniz.emeğiniz yağlı bol olsun.,size teşekür ederiz okul gibisiniz maşallah kendinizi iyi yetiştirmişsinizemeğiniz yağlı bol olsun
@sefaozmen403,Erdem bey gıda sektöründe karşılaştırma yaparmisiniz,erdem bey gıda sektöründe karşılaştırma yaparmisiniz
@selimmutlu8922,Elinize emeğinize sağlık hocam çok açıklayıcı eğitimler 👏🏻👏🏻👏🏻,elinize emeğinize sağlık hocam açıklayıcı eğitimler
@halilcapan3088,Emeğinize sağlık,emeğinize sağlık
@yakuoarslan246,Erdem Bey gerçekten gün geçtikçe yatırımlarım konusunda çok daha fazla bilgi ve beceri sahibi oldum. Ancak Maymun iştahı dediğimiz olayı yaşıyorum ve öğrendiğim bilgiler artık yeterli gelmemeye daha fazlasını istemeye başladım. Borsaya ilk giriş anından itibaren sizin eğitim videolarınızı takip ettim. Özellikle indikatörlerin nasıl önem taşıdığı konusunda iyi bir tecrübe edindim. Yazımın başında belirttiğim gibi artık bunlar yeterli gelmiyor ve bu konuda fikrine ve bilgisine güvendiğim sizden destek almak istiyorum. Nasıl daha fazla indikatörler bilgisi edinebilirim ve nereden öğrenmem gerekir bu konuda görüşünüzü merakla beklemekteyim. İndikatörleri Tek tek araştırıp baktığımda birden fazla video ve bilgi karşıma çıkıyor ama bazılarında farklılıklar göz önüne çarpıyor. Bu konuda yardımcı olursanız çok sevinirim 😊😊,erdem bey gerçekten gün geçtikçe yatırımlarım konusunda fazla bilgi beceri sahibi oldum ancak maymun iştahı dediğimiz olayı yaşıyorum öğrendiğim bilgiler artık yeterli gelmemeye fazlasını istemeye başladım borsaya ilk giriş anından itibaren sizin eğitim videolarınızı takip ettim özellikle indikatörlerin önem taşıdığı konusunda iyi bir tecrübe edindim yazımın başında belirttiğim artık bunlar yeterli gelmiyor konuda fikrine bilgisine güvendiğim sizden destek almak istiyorum fazla indikatörler bilgisi edinebilirim nereden öğrenmem gerekir konuda görüşünüzü merakla beklemekteyim indikatörleri tek tek araştırıp baktığımda birden fazla video bilgi karşıma çıkıyor bazılarında farklılıklar göz önüne çarpıyor konuda yardımcı olursanız sevinirim
@mehmetakif5638,"Elinize dilinize sağlık youtube aleminde bulduğum en kaliteli teknik analoz videolarından biri
Allah yolunuzu açık etsin",elinize dilinize sağlık youtube aleminde bulduğum kaliteli teknik analoz videolarından allah yolunuzu açık etsin
@nurolgun4898,Emeğinize sağlık,emeğinize sağlık
@muratbekkalandarov114,Ellerine sağlık hocam sendan çok şeylari orendim ama hala kara geçmedim,ellerine sağlık hocam sendan şeylari orendim hala kara geçmedim
@erberkgaming2740,Hocam emeginize yureginize saglik icerik harika,hocam emeginize yureginize saglik icerik harika
@Mert..03,Teşekkürler benim gibi yaşı küçük insanları da düşündüğünüz için,teşekkürler benim yaşı küçük insanları düşündüğünüz
@cumaguldilekova3450,Çok teşekkürler,teşekkürler
@cihanyurt2615,"Emeğinize sağlık çok faydalı oldu,umarım devamı da gelir.",emeğinize sağlık faydalı olduumarım devamı gelir
@metesabahat4940,Gayet net bilgiler. Teşekkürler.,gayet net bilgiler teşekkürler
@barskustum9297,Tertemiz bir video daha çok teşekkürler,tertemiz bir video teşekkürler
@recepkaraoglu5553,Çok iyi ya.,iyi
@FuatKayabasi,Kesinlikle mükemmel bilgi ve mükemmel anlatım iyiki denk gelmişim videonuza 👍🤲,kesinlikle mükemmel bilgi mükemmel anlatım iyiki denk gelmişim videonuza
@vedatkuk2172,son derece açık ve net anlatım. gerisi anlama isteği ve yetisinde.,son derece açık net anlatım gerisi anlama isteği yetisinde
@hakantunca8191,Teşekkürler,teşekkürler
@ziyatozanoglu2006,herkes bilir.. herkes ogretemez..helal kardeşim..,herkes bilir herkes ogretemezhelal kardeşim
@serdarbay5319,Cok güzel anlatım. Emeğinize sağlık..,cok güzel anlatım emeğinize sağlık
@izmitlifurkan89,Hocam hareketli ortalamaları aylıkta 100-200 haftalıkda 10-20 günlük de ise 50-100 mu kullanmalıyız,hocam hareketli ortalamaları aylıkta 100200 haftalıkda 1020 günlük 50100 kullanmalıyız
@erselcankzlc4799,Arkandaki Kitaplar senin mi abi yani hepsini okudun mu,arkandaki kitaplar senin mi abi hepsini okudun
@kroper3781,harika bir insansınız. çok çok çok teşekkürler eksik olmayın,harika bir insansınız teşekkürler eksik olmayın
@busraderin8319,Hocam bu öğrendiğimiz teknik analiz ve trendleri falan binance da tek tek incelememiz mi gerekiyor çünkü 500 yakın coin var yoksa belirli standardı var mı bunun ?,hocam öğrendiğimiz teknik analiz trendleri falan binance tek tek incelememiz mi gerekiyor 500 yakın coin var yoksa belirli standardı var bunun
@varlkdogancay3648,"Açık, anlaşılır bir video yapmışsınız. emeğinize sağlık.
 Kripto paraların  temel analizi, haber takibi, projelerdeki gelişmelerin takibi ve kripto paralarda hedef fiyat nasıl belirleniyor? ... gibi konuları kapsayan bir video yapacak mısınız ?",açık anlaşılır bir video yapmışsınız emeğinize sağlık kripto paraların temel analizi haber takibi projelerdeki gelişmelerin takibi kripto paralarda hedef fiyat belirleniyor konuları kapsayan bir video yapacak mısınız
@_themanfromearth_,teşekkürler ustad emegıne saglık,teşekkürler ustad emegıne saglık
@omergurkanozturk9151,Emeginize salık 👏,emeginize salık
@YasinDemir-ju3jg,Diğer indikatör Ler hakkında bilgi verecek misiniz,diğer indikatör ler hakkında bilgi verecek misiniz
@aybarsatakan7801,Sen yapacan biz beğenmeyecez hee. Seni çok seviom,sen yapacan beğenmeyecez hee seni seviom
@hakankaratas6218,"Emeğinize sağlık, yine çok güzel eğitici olmuş syg.",emeğinize sağlık yine güzel eğitici olmuş syg
@umitozdemir7246,Teşekkürler Hocam emeğinize sağlık,teşekkürler hocam emeğinize sağlık
@denizkhanalmasov7380,Eline emeğine sağlık hocam her videonuzda burdayız. Keşke daha çok gelse...,eline emeğine sağlık hocam videonuzda burdayız keşke gelse
@ilkayeker292,"Şu ana kadar gördüğüm en bilgilendirici eğitim videosu olmuş, çok teşekkürler bilgilerinizi bizimle paylaştığınız için.",ana kadar gördüğüm bilgilendirici eğitim videosu olmuş teşekkürler bilgilerinizi bizimle paylaştığınız
@canelyaf5554,Bilgi dolu bir video daha. Teşekkürler erdem bey. Kaliteli videolarınızı daha sık görmek istiyoruz 🙏,bilgi dolu bir video teşekkürler erdem bey kaliteli videolarınızı sık görmek istiyoruz
@feridunozkaya5205,Yalın anlaşılır bir video teşekkürler,yalın anlaşılır bir video teşekkürler
@AWhite_,Üstad eline sağlık...,üstad eline sağlık
@turtleway19,Güzel bilgilerini paylaştığın için teşekkürler çok güzel sunum yapıyorsunuz.,güzel bilgilerini paylaştığın teşekkürler güzel sunum yapıyorsunuz
@servetekselli4201,Videolarınız sayeainde hem öğreniyor hem de borsaya olan ilgi merakımız artıyo henüz ele avuca gelir bi kazanç sağlayamasakta bu bilgiler sayesinde kendi güvenimz arttı çok teşekkürler erdem bey,videolarınız sayeainde öğreniyor borsaya olan ilgi merakımız artıyo henüz ele avuca gelir bi kazanç sağlayamasakta bilgiler sayesinde kendi güvenimz arttı teşekkürler erdem bey
@servetekselli4201,Temettü hakkında bilgilendirici temettü emekliliği ve temettü hisseleri konularında da bir video yapmak planlarınız arasında var mı acaba yoksa da bir rica etsek 😀 emeğiniz ve ilginiz için teşekkürler,temettü hakkında bilgilendirici temettü emekliliği temettü hisseleri konularında bir video yapmak planlarınız arasında var yoksa bir rica etsek emeğiniz ilginiz teşekkürler
@servetekselli4201,"Sınav öncesi son kez çalışılan özet not gibi bir video olmuş harika, teşekkürler",sınav öncesi son çalışılan özet not bir video olmuş harika teşekkürler
@tanertoprakoglu4626,Yok böyle bir eğitim videosu hocam emeğinize sağlık,yok böyle bir eğitim videosu hocam emeğinize sağlık
@olayengizek854,"Bu güzel yeni yıl hediyesi için çok tesekkürler Erdem Bey, sağlıklı ve bol kazançlı bir yıl dilerim😊",güzel yeni yıl hediyesi tesekkürler erdem bey sağlıklı bol kazançlı bir yıl dilerim
@ozguryurtsever5789,Teşekkürler hocam,teşekkürler hocam
@erdemkaynar,İyi seyirler,iyi seyirler
@hakankaratas6218,Tşk .,tşk
@ayhanandayhan3181,Önceki videoların özeti gibi görünen ama arada önemli püf noktaların yer aldığı bir video olmuş. Emeğinize sağlık.,önceki videoların özeti görünen arada önemli püf noktaların yer aldığı bir video olmuş emeğinize sağlık
@caganyldran7904,İyi yıllar 🙏,iyi yıllar
@caganyldran7904,👍👍👍,
@zaferkavun1606,Emeğinize sağlık Yeni yılınız kutlu olsun,emeğinize sağlık yeni yılınız kutlu olsun
@soner3551,Teşekkürler,teşekkürler
@GozdeGURGURBUZ,💯👀,
@cKhrmn,eline sağlık,eline sağlık
@ahmetkurtoglu9214,🙏🙋‍♂️,
@huseyincnar4616,teşekkürler.mutlu yıllar.,teşekkürlermutlu yıllar
@tahaadiguzel,"Videolar için sağ olun hocam.  Hocam siz bunları nereden öğrendiniz , onu sorsam",videolar sağ olun hocam hocam bunları nereden öğrendiniz onu sorsam
@ozbayilgaz6248,"Emeğinize sağlık, yine keyifli bir eğitim olmuş. Size de sağlıklı mutlu, bol kazançlı seneler dilerim.",emeğinize sağlık yine keyifli bir eğitim olmuş size sağlıklı mutlu bol kazançlı seneler dilerim
@cem6352,Teşekkürler Erdem Bey. Lütfen devam edin. Strateji serisi bekliyoruz.Herkese iyi seneler dilerim.,teşekkürler erdem bey lütfen devam edin strateji serisi bekliyoruzherkese iyi seneler dilerim
@gozdeozyurtkaynar,"Herkesin keyifle izlediği, öğrendiği, sağlıklı, mutlu ve kazançlı bir yıl olsun  🤩♥️",herkesin keyifle izlediği öğrendiği sağlıklı mutlu kazançlı bir yıl olsun
@durukan_ulker,İyi seneler Erdem bey. Elinize emeğinize sağlık. Teşekkürler...,iyi seneler erdem bey elinize emeğinize sağlık teşekkürler
@hayrathayrat,teşekkürler,teşekkürler
@mulayim6158,Anlatım süper 👍👍👍,anlatım süper
@bahtiyarbeyazoglu5630,Ilk beğeni benden olsun.tesekkurler Erdem bey.👏👏👏,ilk beğeni benden olsuntesekkurler erdem bey
